iteration,score
0,7793.571428571429
3,8165.714285714286
23,8317.857142857143
30,8350.857142857143
47,8387.857142857143
54,8387.857142857143
118,8375.857142857143
122,8347.857142857143
149,8306.857142857143
166,8310.857142857143
185,8318.857142857143
196,8379.857142857143
211,8357.857142857143
213,8403.857142857143
216,8343.857142857143
250,8377.857142857143
270,8319.857142857143
289,8328.857142857143
292,8289.857142857143
303,8372.857142857143
305,8400.857142857143
336,8403.857142857143
352,8421.857142857143
460,8421.857142857143
488,8382.857142857143
492,8417.857142857143
500,8391.857142857143
518,8349.857142857143
544,8385.857142857143
557,8448.857142857143
617,8776.0
696,8752.0
849,8742.0
864,8700.0
875,8843.0
930,8873.0
1037,8861.0
1111,8843.0
1288,8897.0
1299,8739.0
1334,8897.0
1353,8723.0
1383,8897.0
1467,8851.0
1501,8871.0
1526,8816.0
1620,8834.0
1815,8846.0
1890,8852.0
2016,8902.0
2021,8864.0
2091,8894.0
2132,8753.0
2203,8716.0
2216,8894.0
2277,8722.0
2297,8894.0
2302,8894.0
2347,8895.0
2431,8703.0
2532,8895.0
2657,8902.0
2697,8832.0
2800,8682.857142857143
2825,8858.0
2832,9017.0
3165,8828.0
3174,9017.0
3282,8875.0
3341,8831.0
3464,8845.0
3509,9017.0
4106,9003.0
4356,9029.0
4481,8987.0
4563,9023.0
4653,9009.0
5204,8843.0
5213,9009.0
5890,9014.0
6583,8848.0
6614,9014.0
6821,9035.0
6885,9014.0
7530,9029.0
8911,9023.0
8994,9035.0
11822,9035.0
Best,9035.0
Theoretical max,9219.0
