iteration,score
0,3924.730337078652
2,4061.089887640449
5,3986.730337078652
6,4087.089887640449
12,4220.730337078652
22,4275.449438202247
24,4292.730337078652
26,4196.370786516854
42,4215.370786516854
45,4122.730337078652
95,4292.449438202247
102,4094.730337078652
123,4274.449438202247
127,4224.449438202247
129,4371.808988764045
137,4429.52808988764
141,4259.168539325843
159,4345.52808988764
160,4177.168539325843
197,4379.168539325843
198,4346.449438202247
202,4460.089887640449
209,4331.730337078652
215,4454.089887640449
222,4412.370786516854
223,4468.730337078652
226,4429.370786516854
230,4440.370786516854
231,4476.370786516854
239,4487.089887640449
241,4420.449438202247
242,4529.808988764045
246,4527.52808988764
252,4292.808988764045
296,4578.887640449438
303,4737.966292134832
306,4840.044943820225
310,4849.3258426966295
342,4919.404494382023
346,5016.044943820225
355,4851.404494382023
358,4970.76404494382
364,4922.404494382023
370,5018.044943820225
385,4791.3258426966295
388,5007.3258426966295
392,5004.3258426966295
395,4979.606741573034
402,5028.3258426966295
403,5059.685393258427
413,5040.685393258427
425,5128.044943820225
432,4999.3258426966295
443,5163.3258426966295
450,5095.3258426966295
553,5046.606741573034
559,4971.966292134832
767,4892.887640449438
1577,5144.606741573034
1583,5280.966292134832
1586,5155.3258426966295
1613,5295.685393258427
1618,5277.685393258427
1680,5048.966292134832
1774,5248.685393258427
1775,5251.685393258427
1782,5249.966292134832
1785,5210.685393258427
1833,5340.044943820225
1834,5281.404494382023
1851,5215.404494382023
1874,5369.76404494382
1885,5409.76404494382
1888,5444.123595505618
1928,5490.404494382023
1960,5385.044943820225
1983,5292.685393258427
2387,5397.044943820225
2396,5365.044943820225
2449,5588.76404494382
2454,5563.044943820225
2472,5484.685393258427
2506,5589.76404494382
2523,5715.123595505618
2542,5724.123595505618
2548,5657.76404494382
2662,5771.123595505618
2665,5709.404494382023
2673,5622.76404494382
2818,5709.404494382023
2942,5689.685393258427
2946,5776.76404494382
2958,5685.404494382023
2979,5756.044943820225
3085,5763.76404494382
3087,5743.404494382023
3108,5809.044943820225
3115,5766.76404494382
3206,5809.044943820225
3293,5779.76404494382
3299,5790.76404494382
3328,5776.483146067416
3337,5768.76404494382
3414,5783.044943820225
3430,5697.404494382023
3537,5783.044943820225
3629,5818.404494382023
3630,5699.76404494382
3662,5826.123595505618
3788,5818.404494382023
3798,5651.404494382023
3980,5817.123595505618
3989,5766.76404494382
4187,5768.044943820225
4230,5782.76404494382
4402,5700.123595505618
5703,5799.483146067416
5791,5851.483146067416
5792,5913.123595505618
5796,5970.842696629214
5814,5883.202247191011
5947,5970.842696629214
6069,5843.76404494382
6616,5963.842696629214
6726,5971.123595505618
7009,5974.123595505618
7019,6035.483146067416
7068,6002.76404494382
7177,6029.483146067416
7196,6152.561797752809
7469,6157.561797752809
7886,6130.842696629214
8327,6176.842696629214
12649,6176.842696629214
13640,6178.842696629214
14977,6184.842696629214
15964,6185.842696629214
17406,6205.842696629214
20385,6231.842696629214
29502,6249.842696629214
30949,6271.842696629214
33303,6277.561797752809
33565,6301.561797752809
37577,6308.561797752809
40514,6317.561797752809
47730,6387.921348314607
49922,6406.921348314607
52951,6446.2808988764045
60138,6447.2808988764045
61586,6472.2808988764045
67516,6495.2808988764045
71299,6507.2808988764045
75645,6573.640449438202
78582,6605.0
88582,6605.0
Best,6605.0
Theoretical max,7549.0
