iteration,score
0,4709.606741573034
1,6065.921348314607
2,5817.123595505618
3,6131.2808988764045
4,6255.640449438202
5,6319.921348314607
6,6305.921348314607
7,6236.640449438202
8,6188.202247191011
9,6257.2808988764045
10,6131.2808988764045
11,6267.921348314607
12,6421.0
13,6182.640449438202
14,6273.921348314607
15,6213.2808988764045
16,5934.123595505618
17,6393.640449438202
18,6406.640449438202
19,5267.685393258427
20,5944.202247191011
21,5814.123595505618
22,6319.640449438202
23,6501.2808988764045
24,6412.921348314607
25,6146.921348314607
26,6221.2808988764045
27,6237.2808988764045
28,6117.640449438202
29,6217.0
30,6091.640449438202
31,5239.044943820225
32,6105.921348314607
33,6255.2808988764045
34,6390.921348314607
35,6341.640449438202
36,5872.202247191011
37,6153.2808988764045
38,6219.921348314607
39,5392.842696629214
40,5798.842696629214
41,6018.0
42,6161.921348314607
43,6237.0
44,6211.921348314607
45,6387.640449438202
46,5673.76404494382
47,6371.640449438202
48,6182.640449438202
49,6264.640449438202
0,6387.561797752809
1,5256.842696629214
2,5659.123595505618
3,6117.561797752809
4,4713.606741573034
5,4939.76404494382
6,6204.2808988764045
7,6344.0
8,6378.640449438202
9,6114.2808988764045
10,6008.921348314607
11,6218.640449438202
12,6276.921348314607
13,6049.0
14,6077.640449438202
15,6274.561797752809
16,5388.76404494382
17,6339.640449438202
18,5767.044943820225
19,6131.921348314607
20,6304.561797752809
21,6121.2808988764045
22,5708.123595505618
23,5461.044943820225
24,5425.404494382023
25,5369.404494382023
26,6276.640449438202
27,6299.640449438202
28,5964.842696629214
29,6252.2808988764045
30,6205.0
31,6358.2808988764045
32,5506.404494382023
33,6214.921348314607
34,6085.921348314607
35,6232.921348314607
36,6298.2808988764045
37,6358.2808988764045
38,6397.921348314607
39,6030.561797752809
40,5895.76404494382
41,6128.640449438202
42,6151.640449438202
43,6245.640449438202
44,5963.2808988764045
45,5069.76404494382
46,6284.921348314607
47,6127.640449438202
48,6303.2808988764045
49,6271.2808988764045
average,6050.4496
