iteration,score
1,3565.011235955056
3,3759.089887640449
5,3900.8089887640454
10,3931.168539325843
25,3938.52808988764
39,3958.52808988764
90,3991.8876404494376
389,4004.8876404494376
1795,4012.8876404494376
2147,4027.2471910112363
2332,4054.2471910112363
6504,4057.2471910112363
7628,4058.2471910112363
9095,4066.2471910112363
15219,4066.2471910112363
16585,4116.606741573034
17183,4196.966292134832
17672,4203.966292134832
17710,4219.966292134832
20934,4220.966292134832
22473,4225.966292134832
22960,4236.966292134832
24081,4334.3258426966295
25106,4341.3258426966295
26764,4342.3258426966295
31149,4343.3258426966295
65903,4345.3258426966295
137165,4351.3258426966295
139795,4351.3258426966295
172153,4351.3258426966295
179755,4351.3258426966295
210537,4351.3258426966295
304651,4351.3258426966295
373732,4351.3258426966295
382987,4351.3258426966295
485870,4351.3258426966295
