iteration,score
0,3604.775280898876
1,3743.134831460674
2,3778.134831460674
3,4161.213483146067
45,4603.651685393258
49,4640.651685393258
81,4762.089887640449
95,5013.808988764045
96,5050.52808988764
107,5163.52808988764
183,5209.247191011236
575,5213.247191011236
671,5219.247191011236
754,5268.606741573034
764,5402.966292134832
864,5407.966292134832
890,5467.966292134832
1088,5467.966292134832
1097,5531.3258426966295
3726,5562.3258426966295
5420,5569.3258426966295
5426,5658.3258426966295
5469,5661.685393258427
5611,5703.685393258427
5660,5762.044943820225
5675,5763.044943820225
6192,5794.044943820225
6365,5832.044943820225
6377,5837.404494382023
6387,5870.404494382023
6410,5873.404494382023
6506,5922.76404494382
7328,5932.76404494382
7406,5936.76404494382
10309,5937.76404494382
10454,5941.76404494382
11033,5941.76404494382
13638,5941.76404494382
15567,5942.76404494382
16169,5942.76404494382
24659,5943.76404494382
40608,5948.76404494382
96221,5949.76404494382
96482,6030.123595505618
97482,6055.123595505618
97485,6062.76404494382
97491,6150.123595505618
97509,6160.123595505618
97534,6200.483146067416
97911,6232.483146067416
98130,6246.483146067416
98289,6300.842696629214
100119,6328.842696629214
184173,6341.842696629214
184545,6341.842696629214
281448,6342.202247191011
281921,6355.202247191011
282542,6368.202247191011
286303,6378.202247191011
286566,6378.202247191011
289213,6382.202247191011
295538,6382.202247191011
302551,6384.202247191011
305432,6385.202247191011
312868,6385.202247191011
314656,6385.202247191011
324299,6385.202247191011
325396,6385.202247191011
333552,6385.202247191011
336257,6413.202247191011
371422,6413.202247191011
376634,6424.202247191011
398058,6424.202247191011
419083,6424.202247191011
431249,6424.202247191011
456514,6424.202247191011
467860,6424.202247191011
470662,6424.202247191011
