iteration,score
0,3730.52808988764
7,3751.52808988764
32,3818.9662921348317
35,3825.9662921348317
62,3851.3258426966295
65,3894.3258426966295
74,3898.3258426966295
78,4235.76404494382
83,4270.76404494382
86,4280.76404494382
90,4288.404494382023
97,4478.123595505618
105,4503.123595505618
222,4520.123595505618
312,4555.202247191011
401,4588.561797752809
480,4603.561797752809
502,4619.561797752809
526,4678.561797752809
1297,4727.2808988764045
1404,4742.2808988764045
1634,4772.2808988764045
1925,4772.2808988764045
2806,4772.2808988764045
3084,4809.640449438202
4242,4809.640449438202
5509,4809.640449438202
5932,4809.640449438202
6353,4875.0
6356,4905.640449438202
6424,4905.640449438202
6444,4905.640449438202
6525,4920.640449438202
6794,4950.640449438202
7687,4950.640449438202
7928,4950.640449438202
8458,4950.640449438202
8640,4950.640449438202
8672,4950.640449438202
9172,4950.640449438202
9174,4992.0
9701,4992.640449438202
9772,5056.0
10229,5056.0
10988,5056.0
10991,5056.0
11008,5056.0
12141,5056.0
13637,5056.0
13902,5056.0
14228,5056.0
14582,5056.0
15128,5056.0
16033,5056.0
16867,5056.0
17054,5056.0
17477,5056.0
17679,5056.0
19237,5056.0
20354,5056.0
21100,5056.0
23808,5056.0
24838,5056.0
25213,5056.0
27195,5056.0
27629,5056.0
27637,5056.0
