iteration,score
19,3494.775280898876
29,3507.4943820224717
95,3515.8539325842703
108,3533.8539325842703
112,3700.573033707865
152,3703.573033707865
156,3843.9325842696626
174,3916.292134831461
191,3933.292134831461
225,3960.292134831461
323,4039.651685393258
330,4160.011235955056
347,4177.011235955056
542,4246.370786516854
582,4358.730337078652
612,4465.089887640449
1455,4469.089887640449
1483,4529.089887640449
1488,4617.449438202247
1543,4617.449438202247
1705,4617.449438202247
1738,4618.449438202247
1781,4618.449438202247
2212,4618.449438202247
2671,4618.449438202247
2939,4618.449438202247
3588,4618.449438202247
4598,4618.449438202247
5647,4618.449438202247
5694,4618.449438202247
7459,4618.449438202247
10310,4618.449438202247
11078,4618.449438202247
11641,4618.449438202247
12208,4618.449438202247
12604,4618.449438202247
14365,4618.449438202247
15562,4618.449438202247
16367,4618.449438202247
16985,4618.449438202247
17304,4618.449438202247
17782,4618.449438202247
18188,4618.449438202247
18908,4618.449438202247
19127,4618.449438202247
19817,4618.449438202247
19951,4618.449438202247
20136,4618.449438202247
20743,4618.449438202247
20972,4618.449438202247
21022,4618.449438202247
22040,4618.449438202247
23255,4618.449438202247
27122,4618.449438202247
27356,4618.449438202247
27527,4618.449438202247
27585,4618.449438202247
27988,4618.449438202247
28276,4618.449438202247
29687,4618.449438202247
29965,4618.449438202247
