iteration,score
5,3442.011235955056
10,3575.730337078652
11,3606.089887640449
16,3629.4494382022467
19,3758.168539325843
25,3789.52808988764
26,3957.2471910112363
39,4029.606741573034
260,4036.606741573034
445,4049.606741573034
622,4116.966292134832
646,4140.966292134832
752,4174.3258426966295
861,4257.685393258427
863,4270.685393258427
870,4279.685393258427
1127,4283.685393258427
1166,4283.685393258427
1170,4286.685393258427
1809,4297.685393258427
3193,4297.685393258427
3263,4299.685393258427
3318,4304.685393258427
18317,4305.685393258427
18532,4408.044943820225
