train,stations
0,"[Maastricht, Roermond, Sittard]"
1,"[Maastricht, Roermond, Sittard, Sittard]"
2,"[Zaandam, Beverwijk, Haarlem, Beverwijk, Zaandam, Castricum, Zaandam, Castricum]"
3,"[Roosendaal, Rotterdam Centraal, Dordrecht, Tilburg, Breda, Etten-Leur, Roosendaal, Dordrecht, Rotterdam Blaak, Schiedam Centrum, Rotterdam Blaak, Rotterdam Blaak, Rotterdam Alexander]"
4,"[Haarlem, Amsterdam Sloterdijk, Amsterdam Zuid, Amsterdam Centraal, Almere Centrum, Amsterdam Sloterdijk, Zaandam, Amsterdam Sloterdijk, Haarlem, Amsterdam Centraal, Amsterdam Sloterdijk, Utrecht Centraal]"
5,"[Heerenveen, Heerenveen, Leeuwarden, Heerenveen, Groningen, Leeuwarden, Groningen, Assen]"
6,"[Etten-Leur, Etten-Leur, Breda, Breda, Dordrecht, Etten-Leur, Breda, Rotterdam Centraal, Dordrecht, Rotterdam Blaak, Rotterdam Alexander, Gouda]"
7,"[Tilburg, Oss, s-Hertogenbosch, Eindhoven, s-Hertogenbosch]"
8,"[Alkmaar, Alkmaar, Den Helder, Alkmaar, Castricum, Alkmaar, Castricum, Beverwijk, Haarlem, Heemstede-Aerdenhout, Leiden Centraal, Leiden Centraal]"
9,"[Arnhem Centraal, Arnhem Centraal, Ede-Wageningen, Utrecht Centraal, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Sloterdijk, Amsterdam Centraal, Zaandam, Beverwijk, Hoorn]"
10,"[Den Haag Centraal, Schiphol Airport, Leiden Centraal, Gouda]"
11,"[Enschede, Enschede, Hengelo, Enschede, Hengelo, Enschede, Hengelo, Enschede, Hengelo, Almelo, Hengelo, Almelo, Zwolle, Hengelo, Enschede, Almelo]"
12,"[Deventer, Deventer, Almelo, Apeldoorn, Deventer, Apeldoorn, Deventer, Deventer]"
13,"[Nijmegen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn, Amersfoort, Zwolle, Deventer, Amersfoort]"
14,"[Amsterdam Amstel, Utrecht Centraal, s-Hertogenbosch, Tilburg, Eindhoven, s-Hertogenbosch]"
15,"[Amersfoort, Utrecht Centraal, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Arnhem Centraal, Dieren, Zutphen, Zutphen, Dieren]"
16,"[Leiden Centraal, Heemstede-Aerdenhout, Leiden Centraal, Den Haag HS, Den Haag Laan v NOI, Leiden Centraal, Heemstede-Aerdenhout, Schiphol Airport, Utrecht Centraal, Utrecht Centraal]"
17,"[Hilversum, Hilversum, Utrecht Centraal, Gouda, Den Haag Centraal, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Amsterdam Centraal]"
score,4212.123595505618
connections missing,[['Almere Centrum': 'Lelystad Centrum']: ['Amsterdam Amstel': 'Hilversum']: ['Heerenveen': 'Steenwijk']: ['Helmond': 'Venlo']: ['Hilversum': 'Almere Centrum']: ['Roosendaal': 'Vlissingen']: ['Rotterdam Centraal': 'Rotterdam Alexander']: ['Steenwijk': 'Zwolle']]
