iteration,score
0,3355.730337078652
4,3541.8089887640454
6,3633.52808988764
8,3742.2471910112363
12,3748.606741573034
26,3878.3258426966295
29,3894.685393258427
30,3936.044943820225
264,4042.4044943820227
908,4044.4044943820227
1023,4120.76404494382
1317,4166.123595505618
5534,4190.483146067416
5994,4193.483146067416
5998,4206.483146067416
10137,4224.483146067416
14406,4224.483146067416
19147,4230.483146067416
23416,4315.842696629214
29130,4323.842696629214
37783,4329.842696629214
41490,4329.842696629214
48358,4332.842696629214
48441,4364.842696629214
48720,4375.842696629214
51025,4381.842696629214
55193,4384.842696629214
86725,4387.842696629214
94077,4389.842696629214
103758,4399.842696629214
104370,4410.842696629214
