train,stations
0,"[Castricum, Alkmaar, Hoorn, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout]"
1,"[Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Amstel, Amsterdam Zuid, Amsterdam Amstel]"
3,"[Ede-Wageningen, Arnhem Centraal, Nijmegen, Arnhem Centraal, Dieren, Zutphen, Dieren, Zutphen]"
4,"[Heemstede-Aerdenhout, Haarlem, Heemstede-Aerdenhout, Leiden Centraal]"
5,"[Nijmegen, Oss, s-Hertogenbosch, Eindhoven, Helmond, Venlo]"
6,"[Amersfoort, Apeldoorn, Deventer, Apeldoorn, Zutphen, Dieren, Zutphen, Deventer, Almelo]"
7,"[Utrecht Centraal, Alphen a/d Rijn, Gouda, Den Haag Centraal, Gouda, Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal, Dordrecht, Breda]"
8,"[Heerenveen, Leeuwarden, Groningen, Assen]"
9,"[Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Sloterdijk, Zaandam, Beverwijk, Haarlem, Heemstede-Aerdenhout]"
10,"[Rotterdam Blaak, Dordrecht, Roosendaal, Etten-Leur, Breda, Tilburg, Eindhoven, Weert, Roermond]"
11,"[Oss, s-Hertogenbosch, Tilburg, s-Hertogenbosch, Oss, s-Hertogenbosch, Eindhoven]"
12,"[Eindhoven, Helmond, Eindhoven, s-Hertogenbosch, Oss, Nijmegen]"
score,4726.887640449438
connections missing,[['Alkmaar': 'Den Helder']: ['Amsterdam Amstel': 'Almere Centrum']: ['Amsterdam Amstel': 'Hilversum']: ['Den Haag HS': 'Gouda']: ['Den Haag Laan v NOI': 'Gouda']: ['Heerenveen': 'Steenwijk']: ['Roosendaal': 'Vlissingen']: ['Rotterdam Blaak': 'Rotterdam Alexander']: ['Sittard': 'Heerlen']: ['Utrecht Centraal': 'Amsterdam Amstel']: ['Utrecht Centraal': 'Ede-Wageningen']: ['Utrecht Centraal': 'Amersfoort']: ['Utrecht Centraal': 'Gouda']: ['Utrecht Centraal': 'Schiphol Airport']: ['Utrecht Centraal': 's-Hertogenbosch']: ['Zwolle': 'Amersfoort']: ['Zwolle': 'Almelo']]
