iteration,score
2,3280.379310344828
5,3284.379310344828
7,3745.091954022989
13,3774.091954022989
31,4404.747126436781
35,4552.6321839080465
58,4562.574712643678
61,4637.51724137931
64,4849.402298850575
78,4916.402298850575
114,4934.402298850575
607,4963.402298850575
4480,4993.3448275862065
5313,5004.287356321838
5704,5078.229885057472
5821,5200.172413793103
6943,5307.114942528737
8524,5347.114942528737
17146,5364.057471264368
17236,5379.057471264368
21445,5403.057471264368
24847,5403.057471264368
