iteration,score
2,4202.091954022989
22,4349.919540229885
34,4430.747126436781
108,4519.689655172413
198,4594.574712643678
278,4671.459770114943
284,4744.402298850575
285,4746.402298850575
291,4763.402298850575
308,4835.3448275862065
320,4873.3448275862065
333,4964.287356321838
2100,4978.287356321838
2171,4984.287356321838
2195,5002.287356321838
2196,5002.287356321838
2773,5005.287356321838
4118,5012.287356321838
4762,5013.287356321838
4807,5017.287356321838
5133,5018.287356321838
8162,5092.229885057472
8604,5092.229885057472
8621,5092.229885057472
9335,5096.229885057472
10414,5097.229885057472
18206,5097.229885057472
19380,5097.229885057472
24154,5099.229885057472
