train,stations
0,"[Amsterdam Amstel, Amsterdam Centraal, Amsterdam Amstel, Hilversum]"
1,"[Zutphen, Deventer, Zwolle, Almelo, Hengelo, Enschede]"
2,"[Leeuwarden, Heerenveen, Steenwijk, Zwolle, Almelo, Deventer]"
3,"[Amsterdam Centraal]"
4,"[Leiden Centraal, Alphen a/d Rijn, Gouda, Den Haag HS, Delft]"
5,"[Dieren, Arnhem Centraal]"
6,"[]"
7,"[Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Zuid, Schiphol Airport, Leiden Centraal, Den Haag Laan v NOI, Delft, Den Haag HS, Leiden Centraal, Den Haag Centraal, Delft, Den Haag Laan v NOI, Gouda]"
8,"[]"
9,"[Alkmaar, Castricum, Beverwijk]"
10,"[Rotterdam Blaak, Schiedam Centrum, Delft, Schiedam Centrum, Rotterdam Centraal, Rotterdam Alexander, Rotterdam Blaak, Dordrecht, Rotterdam Centraal, Dordrecht, Rotterdam Centraal]"
11,"[Sittard, Maastricht, Sittard]"
12,"[Apeldoorn, Zutphen, Deventer, Zutphen, Dieren, Zutphen, Dieren, Zutphen, Deventer]"
13,"[Ede-Wageningen, Arnhem Centraal, Ede-Wageningen]"
14,"[Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Amsterdam Centraal, Amsterdam Sloterdijk, Zaandam]"
15,"[Breda, Tilburg, Breda, Etten-Leur, Breda, Dordrecht, Roosendaal, Etten-Leur]"
score,5012.287356321838
connections missing,[['Alkmaar': 'Den Helder']: ['Assen': 'Zwolle']: ['Helmond': 'Venlo']: ['Roosendaal': 'Vlissingen']: ['Utrecht Centraal': 'Schiphol Airport']]
