iteration,score
1,3238.954022988506
5,3430.8390804597702
8,3438.781609195402
12,3657.6091954022986
13,3763.551724137931
43,4031.379310344828
51,4098.3218390804595
129,4099.3218390804595
135,4184.264367816092
523,4184.264367816092
627,4271.206896551724
635,4273.206896551724
764,4281.206896551724
799,4365.149425287355
9180,4429.091954022989
9350,4526.034482758621
9365,4542.034482758621
9414,4545.034482758621
9513,4557.034482758621
9520,4581.034482758621
9655,4587.034482758621
10567,4588.034482758621
10748,4588.034482758621
10992,4588.034482758621
11470,4591.034482758621
12201,4591.034482758621
12227,4591.034482758621
13039,4591.034482758621
14409,4591.034482758621
15857,4591.034482758621
15959,4591.034482758621
18617,4591.034482758621
18815,4591.034482758621
19004,4591.034482758621
20483,4591.034482758621
21042,4591.034482758621
23610,4591.034482758621
25728,4591.034482758621
25998,4591.034482758621
26344,4591.034482758621
26865,4591.034482758621
27984,4591.034482758621
29150,4591.034482758621
