iteration,score
1,3463.0
3,3546.0
5,3681.0
7,3907.0
13,4002.0
27,4103.0
33,4107.0
51,4109.0
358,4109.0
661,4223.0
662,4240.0
665,4365.0
668,4464.0
704,4472.0
711,4542.0
715,4566.0
722,4615.0
944,4619.0
954,4719.0
959,4830.0
980,4852.0
987,4852.0
994,4854.0
1019,4857.0
1055,4860.0
1063,4860.0
1065,4861.0
1076,4865.0
1116,4868.0
1331,4869.0
1448,4869.0
1519,4869.0
1570,4869.0
1578,4869.0
1583,4869.0
1625,4870.0
1671,4870.0
1729,4870.0
1773,4870.0
1823,4870.0
1836,4870.0
1842,4870.0
1878,4870.0
1887,4870.0
2049,4870.0
2096,4870.0
2214,4870.0
2242,4870.0
2325,4870.0
2450,4870.0
2537,4870.0
2547,4870.0
2596,4870.0
2628,4870.0
2634,4870.0
2649,4870.0
2652,4870.0
2748,4870.0
2879,4870.0
2887,4870.0
2922,4870.0
2940,4870.0
3182,4870.0
3211,4870.0
3437,4870.0
3454,4870.0
3517,4870.0
3559,4870.0
3575,4870.0
3652,4870.0
3690,4870.0
3758,4870.0
3969,4870.0
4078,4870.0
4086,4870.0
4264,4870.0
4269,4870.0
4331,4870.0
4343,4870.0
4752,4870.0
4771,4870.0
4910,4870.0
4941,4870.0
5142,4870.0
5256,4870.0
5278,4870.0
5300,4870.0
5496,4870.0
5519,4870.0
5837,4870.0
6072,4870.0
6190,4870.0
6229,4870.0
6267,4870.0
6483,4870.0
6508,4870.0
6525,4870.0
6557,4870.0
6563,4870.0
6737,4870.0
6742,4870.0
7494,4870.0
7552,4870.0
7571,4870.0
7572,4870.0
7610,4870.0
7731,4870.0
7840,4870.0
8019,4870.0
8102,4870.0
8203,4870.0
8325,4870.0
8383,4870.0
8429,4870.0
8528,4870.0
8550,4870.0
8682,4870.0
8797,4870.0
8987,4870.0
9048,4870.0
9072,4870.0
9106,4870.0
9186,4870.0
9227,4870.0
9278,4870.0
9317,4870.0
9430,4870.0
9506,4870.0
9624,4870.0
9645,4870.0
9660,4870.0
9710,4870.0
9713,4870.0
10004,4870.0
10079,4870.0
10097,4870.0
10100,4870.0
10141,4870.0
10183,4870.0
10196,4870.0
10272,4870.0
10295,4870.0
10350,4870.0
10526,4870.0
10528,4870.0
10537,4870.0
10560,4870.0
10588,4870.0
10612,4870.0
10803,4870.0
10807,4870.0
11144,4870.0
11306,4870.0
11757,4870.0
11816,4870.0
11827,4870.0
11860,4870.0
11956,4870.0
12030,4870.0
12131,4870.0
12189,4870.0
12332,4870.0
12475,4870.0
12619,4870.0
12721,4870.0
12959,4870.0
13005,4870.0
13063,4870.0
13194,4870.0
13308,4870.0
13403,4870.0
13514,4870.0
13551,4870.0
13653,4870.0
13684,4870.0
13798,4870.0
13938,4870.0
14056,4870.0
14175,4870.0
14568,4870.0
14613,4870.0
14616,4870.0
14671,4870.0
14710,4870.0
14805,4870.0
14915,4870.0
15011,4870.0
15172,4870.0
15232,4870.0
15323,4870.0
15361,4870.0
15365,4870.0
15399,4870.0
15419,4870.0
15498,4870.0
15543,4870.0
15595,4870.0
15701,4870.0
15722,4870.0
15725,4870.0
15763,4870.0
15911,4870.0
15947,4870.0
16097,4870.0
16241,4870.0
16261,4870.0
16381,4870.0
16394,4870.0
16428,4870.0
16438,4870.0
16495,4870.0
16719,4870.0
16846,4870.0
17054,4870.0
17129,4870.0
17132,4870.0
17167,4870.0
17190,4870.0
17298,4870.0
17477,4870.0
17490,4870.0
17496,4870.0
17504,4870.0
17565,4870.0
17573,4870.0
17628,4870.0
17706,4870.0
17830,4870.0
17917,4870.0
18024,4870.0
18037,4870.0
18091,4870.0
18118,4870.0
18137,4870.0
18320,4870.0
18519,4870.0
18528,4870.0
18529,4870.0
18608,4870.0
18739,4870.0
18877,4870.0
18979,4870.0
18989,4870.0
19062,4870.0
19095,4870.0
19123,4870.0
19237,4870.0
19347,4870.0
19569,4870.0
19839,4870.0
19965,4870.0
20033,4870.0
20043,4870.0
20053,4870.0
20174,4870.0
20342,4870.0
20379,4870.0
20634,4870.0
20648,4870.0
20978,4870.0
20987,4870.0
21030,4870.0
21087,4870.0
21198,4870.0
21382,4870.0
21448,4870.0
21499,4870.0
21724,4870.0
21747,4870.0
21752,4870.0
21788,4870.0
21797,4870.0
22016,4870.0
22095,4870.0
22254,4870.0
22257,4870.0
22332,4870.0
22401,4870.0
22475,4870.0
22507,4870.0
22616,4870.0
22756,4870.0
22840,4870.0
22891,4870.0
23126,4870.0
23158,4870.0
23240,4870.0
23325,4870.0
23374,4870.0
23448,4870.0
23516,4870.0
23736,4870.0
23848,4870.0
23854,4870.0
23927,4870.0
23931,4870.0
23975,4870.0
24036,4870.0
24055,4870.0
24258,4870.0
24280,4870.0
24322,4870.0
24331,4870.0
24544,4870.0
24713,4870.0
24801,4870.0
24825,4870.0
25114,4870.0
25145,4870.0
25179,4870.0
25356,4870.0
25435,4870.0
25437,4870.0
25450,4870.0
25467,4870.0
25504,4870.0
25559,4870.0
25693,4870.0
25760,4870.0
25779,4870.0
25857,4870.0
25907,4870.0
25997,4870.0
26090,4870.0
26105,4870.0
26189,4870.0
26372,4870.0
26395,4870.0
26397,4870.0
26540,4870.0
26582,4870.0
26694,4870.0
26815,4870.0
26825,4870.0
26861,4870.0
26953,4870.0
26981,4870.0
27298,4870.0
27412,4870.0
27516,4870.0
27614,4870.0
27911,4870.0
27945,4870.0
28013,4870.0
28094,4870.0
28129,4870.0
28298,4870.0
28369,4870.0
28412,4870.0
28419,4870.0
28580,4870.0
28667,4870.0
28696,4870.0
28783,4870.0
28920,4870.0
29072,4870.0
29142,4870.0
29158,4870.0
29279,4870.0
29286,4870.0
29349,4870.0
29383,4870.0
29406,4870.0
29473,4870.0
29654,4870.0
29656,4870.0
29724,4870.0
29725,4870.0
29775,4870.0
29902,4870.0
29935,4870.0
