iteration,score
0,3306.0
2,3339.0
3,3458.0
10,3574.0
11,3584.0
12,3687.0
16,3795.0
19,3869.0
23,3982.0
25,3985.0
26,4126.0
50,4130.0
80,4130.0
89,4130.0
99,4149.0
128,4155.0
171,4220.0
194,4251.0
226,4255.0
253,4256.0
273,4256.0
364,4256.0
370,4264.0
404,4268.0
449,4268.0
625,4268.0
659,4278.0
693,4288.0
700,4298.0
810,4301.0
822,4384.0
3039,4384.0
3441,4384.0
3611,4384.0
4144,4384.0
4395,4384.0
4641,4384.0
4685,4384.0
5166,4384.0
5325,4384.0
5386,4384.0
5686,4384.0
5715,4384.0
6248,4384.0
6345,4384.0
6671,4384.0
7600,4384.0
8033,4384.0
8057,4384.0
9392,4384.0
9967,4384.0
10064,4384.0
10067,4384.0
10151,4384.0
10179,4384.0
10230,4384.0
10373,4384.0
10783,4384.0
10885,4384.0
11136,4384.0
11660,4384.0
12138,4384.0
12692,4384.0
12948,4384.0
13497,4384.0
14112,4384.0
15262,4384.0
15458,4384.0
15779,4384.0
15831,4384.0
19198,4384.0
19655,4384.0
21815,4384.0
21915,4384.0
21947,4384.0
22214,4384.0
23184,4384.0
23327,4384.0
24502,4384.0
25437,4384.0
25648,4384.0
25919,4384.0
25952,4384.0
25995,4384.0
26494,4384.0
27276,4384.0
27376,4384.0
27455,4384.0
28037,4384.0
28443,4384.0
28901,4384.0
29036,4384.0
29078,4384.0
29159,4384.0
29961,4384.0
