iteration,score
1,3717.2471910112363
2,3786.606741573034
7,3984.685393258427
63,4115.404494382023
102,4176.76404494382
126,4373.483146067416
142,4428.842696629214
591,4446.202247191011
670,4487.202247191011
807,4547.561797752809
1629,4575.561797752809
1638,4629.921348314607
6188,4641.921348314607
13554,4645.921348314607
15444,4648.921348314607
15561,4649.2808988764045
19521,4649.2808988764045
19570,4659.640449438202
19632,4673.640449438202
19775,4689.640449438202
20236,4694.640449438202
20841,4697.640449438202
21190,4713.640449438202
22009,4713.640449438202
