iteration,score
40,3902.3707865168544
43,4002.730337078652
63,4048.4494382022467
66,4135.808988764045
78,4259.168539325843
79,4660.606741573034
90,4735.606741573034
164,4747.606741573034
169,4858.3258426966295
182,4873.685393258427
210,4914.044943820225
224,5038.404494382023
277,5115.76404494382
354,5135.76404494382
558,5198.123595505618
990,5250.483146067416
2939,5271.483146067416
3182,5280.483146067416
3205,5356.842696629214
3604,5370.842696629214
4159,5375.842696629214
7564,5388.202247191011
7890,5413.202247191011
8756,5427.202247191011
9035,5494.561797752809
9069,5612.921348314607
9255,5613.921348314607
10021,5642.921348314607
11501,5644.921348314607
13651,5647.921348314607
21359,5649.921348314607
26630,5662.921348314607
29109,5669.921348314607
33509,5677.921348314607
34525,5716.2808988764045
35227,5721.2808988764045
35242,5748.2808988764045
37554,5753.2808988764045
