iteration,score
38,3633.573033707865
51,3652.573033707865
57,4047.011235955056
122,4102.370786516854
158,4198.730337078652
309,4318.449438202247
371,4379.808988764045
467,4437.808988764045
478,4498.168539325843
483,4513.52808988764
515,4588.887640449438
544,4904.3258426966295
552,4989.685393258427
566,5076.044943820225
610,5077.044943820225
622,5185.404494382023
627,5335.123595505618
683,5567.842696629214
939,5628.202247191011
1246,5695.202247191011
1469,5760.561797752809
1511,5766.561797752809
3024,5771.561797752809
4463,5828.561797752809
4826,5850.561797752809
6705,5974.921348314607
12112,6092.2808988764045
13984,6109.2808988764045
