iteration,score
0,3128.4942528735637
19,3187.379310344828
20,3392.2068965517237
33,3397.1494252873554
45,3612.0344827586214
67,3636.977011494253
68,3727.9195402298847
70,3734.8620689655163
76,3959.7471264367814
81,4040.689655172413
104,4111.6321839080465
115,4221.574712643678
2069,4222.574712643678
2377,4226.574712643678
2384,4238.574712643678
2587,4302.51724137931
2666,4306.51724137931
2691,4397.459770114943
2723,4399.459770114943
2802,4408.459770114943
3131,4416.459770114943
3169,4420.459770114943
3255,4421.459770114943
3400,4435.459770114943
4247,4545.402298850575
9625,4549.402298850575
