train,stations
0,"[Den Haag HS, Delft, Schiedam Centrum, Rotterdam Blaak, Schiedam Centrum, Delft, Den Haag Centraal]"
1,"[Beverwijk, Castricum, Alkmaar, Castricum, Alkmaar, Castricum, Alkmaar, Castricum, Zaandam, Beverwijk, Zaandam, Amsterdam Sloterdijk]"
2,"[Hengelo, Enschede, Hengelo, Almelo, Hengelo, Almelo, Deventer, Zutphen, Apeldoorn, Deventer, Zwolle]"
3,"[Etten-Leur, Breda, Etten-Leur, Breda, Tilburg, s-Hertogenbosch]"
4,"[Nijmegen, Arnhem Centraal, Ede-Wageningen, Arnhem Centraal, Dieren, Zutphen, Deventer, Apeldoorn]"
5,"[Schiedam Centrum, Delft, Schiedam Centrum]"
6,"[Alphen a/d Rijn, Leiden Centraal, Den Haag Centraal, Leiden Centraal, Schiphol Airport, Amsterdam Zuid, Amsterdam Amstel, Almere Centrum, Hilversum]"
7,"[Sittard]"
8,"[Rotterdam Alexander, Rotterdam Centraal, Schiedam Centrum, Rotterdam Centraal]"
9,"[Vlissingen, Roosendaal, Dordrecht, Breda, Etten-Leur]"
10,"[Helmond, Eindhoven]"
11,"[s-Hertogenbosch, Oss, s-Hertogenbosch, Tilburg, Breda, Tilburg, Breda]"
12,"[Zwolle]"
score,4768.0
connections missing,[['Alkmaar': 'Hoorn']: ['Alkmaar': 'Den Helder']: ['Almere Centrum': 'Lelystad Centrum']: ['Amsterdam Centraal': 'Almere Centrum']: ['Assen': 'Zwolle']: ['Den Haag HS': 'Gouda']: ['Den Haag HS': 'Leiden Centraal']: ['Den Haag Laan v NOI': 'Gouda']: ['Gouda': 'Alphen a/d Rijn']: ['Heemstede-Aerdenhout': 'Haarlem']: ['Leiden Centraal': 'Heemstede-Aerdenhout']: ['Zaandam': 'Hoorn']: ['Zwolle': 'Almelo']]
