iteration,score
0,3642.0
5,3795.0
8,3884.0
23,3940.0
25,4057.0
27,4113.0
36,4147.0
43,4404.0
44,4421.0
45,4434.0
58,4440.0
59,4511.0
61,4579.0
64,4660.0
65,4878.0
75,4921.0
80,5074.0
102,5211.0
106,5412.0
264,5543.0
605,5547.0
1580,5575.0
1691,5575.0
2339,5632.0
3524,5692.0
3837,5696.0
3979,5738.0
4050,5738.0
4051,5876.0
6037,5890.0
6043,5977.0
6075,5984.0
6176,6067.0
9574,6067.0
10819,6067.0
11152,6067.0
15879,6067.0
20784,6067.0
24510,6067.0
26742,6078.0
27914,6078.0
