iteration,score
0,3902.0
1,3920.0
4,4323.0
8,4506.0
20,4506.0
27,4527.0
28,4710.0
35,4864.0
55,5002.0
62,5043.0
68,5148.0
82,5207.0
122,5368.0
222,5456.0
470,5491.0
479,5573.0
538,5642.0
540,5680.0
572,5680.0
584,5750.0
979,5757.0
1003,5762.0
1040,5771.0
1519,5819.0
3365,5866.0
3560,5882.0
3691,5951.0
4075,5987.0
4122,5990.0
4511,6058.0
4693,6068.0
5894,6079.0
9739,6084.0
11372,6084.0
11454,6111.0
11572,6185.0
11579,6189.0
12489,6190.0
21613,6200.0
22501,6234.0
25647,6320.0
29474,6325.0
