iteration,score
0,3798.8620689655163
1,3835.8620689655163
20,3846.8620689655163
22,3989.8045977011498
23,4018.8045977011498
25,4144.747126436781
43,4199.689655172413
60,4264.6321839080465
273,4268.6321839080465
300,4333.574712643678
303,4495.459770114943
309,4649.3448275862065
536,4664.3448275862065
597,4743.229885057472
651,4833.229885057472
726,4833.229885057472
1155,4833.229885057472
1169,4833.229885057472
1706,4848.229885057472
2059,4848.229885057472
2304,4848.229885057472
2605,4848.229885057472
2764,4855.172413793103
6076,4855.172413793103
6922,4855.172413793103
8267,4855.172413793103
8341,4855.172413793103
9031,4855.172413793103
11082,4857.114942528737
11203,4906.114942528737
13635,4944.057471264368
13951,5001.057471264368
14164,5040.057471264368
14175,5075.057471264368
14209,5138.0
14479,5152.0
14534,5155.0
14774,5157.0
14799,5177.0
14846,5177.0
16397,5177.0
16899,5177.0
19426,5177.0
20352,5177.0
24183,5177.0
24404,5177.0
24420,5177.0
24774,5177.0
26684,5177.0
26966,5177.0
27300,5177.0
27413,5177.0
27945,5177.0
28782,5177.0
