iteration,score
0,3482.4942528735637
2,3565.4367816091954
3,3786.3218390804595
4,3831.1494252873554
53,3948.091954022989
55,4018.091954022989
174,4041.9195402298847
196,4166.862068965516
197,4235.862068965516
199,4369.80459770115
274,4399.689655172413
387,4403.6321839080465
475,4445.574712643678
477,4679.51724137931
488,4817.402298850575
927,4911.3448275862065
986,4951.3448275862065
995,4996.3448275862065
1125,4996.402298850575
1397,5034.3448275862065
2789,5051.3448275862065
4088,5055.287356321838
6785,5129.229885057472
6843,5143.229885057472
11038,5150.229885057472
11945,5154.229885057472
14733,5191.229885057472
23862,5191.229885057472
